business_unit_name,business_unit_slug,project_name,project_slug,initiative_title,initiative_description,priority,status,reporter_email,assignee_email,rise_score,tags
Definición,definicion,Programa W2M Agentes,programa-w2m-agentes,"Definición funcional y técnica (alcance, flujos, APIs, permisos)","Aterrizar alcance por módulos, contratos luz/gas, flujos y endpoints con W2M.",high,done,adolfo@sapira.ai,adolfo@sapira.ai,90,"workshops,prd,api-specs"
Fundacionales,fundacionales,Plataforma,plataforma,"BFF / API Gateway v1 (normalización Luz/Gas, versionado, caching)",Capa intermedia entre front y microservicios con contratos normalizados.,critical,backlog,pablo@sapira.ai,pablo@sapira.ai,95,"nestjs,nodejs,bff,cache"
Fundacionales,fundacionales,Plataforma,plataforma,Autenticación OIDC/JWT + RBAC jerárquico (canal/subagentes/admin),Login unificado y control de acceso por rol y jerarquía.,critical,backlog,pablo@sapira.ai,pablo@sapira.ai,92,"oidc,jwt,rbac,security"
Fundacionales,fundacionales,Plataforma,plataforma,"Observabilidad & logging unificado (trazas, métricas, alertas)",Telemetría E2E para debug y operación.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,85,"observability,logging,opentelemetry"
Fundacionales,fundacionales,Plataforma,plataforma,"Gestión documental (subida, metadatos, antivirus, storage)","Servicio genérico para documentos en contratos, clientes y altas.",high,backlog,pablo@sapira.ai,pablo@sapira.ai,82,"storage,s3,antivirus,documents"
Fundacionales,fundacionales,Plataforma,plataforma,"CI/CD, entornos y feature flags","Pipelines, despliegues y activación gradual por rol/canal.",high,backlog,pablo@sapira.ai,pablo@sapira.ai,88,"cicd,devops,feature-flags"
Fundacionales,fundacionales,Frontend,frontend,"Design System y tokens (UI kit, accesibilidad)",Base visual unificada y componentes reutilizables.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,80,"react,nextjs,tailwind,design-system"
Fundacionales,fundacionales,Plataforma,plataforma,"Seguridad OWASP (rate limiting, validaciones servidor)","Hardening BFF y endpoints, validaciones server-side.",critical,backlog,pablo@sapira.ai,pablo@sapira.ai,90,"security,owasp,nestjs"
Altas,altas,Onboarding,onboarding,Formulario de alta unificado (desde tarificación),"Formulario para titular, CUPS, dirección, IBAN; hand-off desde pricing.",high,backlog,pablo@sapira.ai,pablo@sapira.ai,85,"react,nextjs,forms"
Altas,altas,Onboarding,onboarding,Validaciones generales y autorrelleno,"Reglas de negocio, duplicidades, campos obligatorios y autofill.",medium,backlog,pablo@sapira.ai,pablo@sapira.ai,75,"validation,bff,frontend"
Altas,altas,Onboarding,onboarding,Integración firma digital,Firma digital de precontratos.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,88,"logalty,digital-signature"
Altas,altas,Onboarding,onboarding,Tramitación y estados (precontrato → firma → envío),Gestión E2E de alta con estados y eventos.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,82,"bff,frontend,workflow"
Altas,altas,Onboarding,onboarding,"Página de precontrato (histórico, documentos, clonación)",Detalle de alta con acciones rápidas y docs.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"react,nextjs,documents"
Altas,altas,Onboarding,onboarding,Rechazos y códigos estandarizados,Catalogo de rechazos y mapeo por distribuidora.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,68,"bff,catalog"
Altas,altas,Onboarding,onboarding,Auto-relleno y reutilización de datos,Reutilizar datos de clientes/contratos previos.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,72,"frontend,bff,ux"
Altas,altas,Onboarding,onboarding,"Gas: multi-CUPS, sector y escalones",Campos y validaciones específicas de gas.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,75,"gas,validation,frontend"
Altas,altas,Onboarding,onboarding,To-dos integrados (rechazos/docs),Creación automática de tareas para seguimiento.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"bff,frontend,todos"
Contratos Core,contratos-core,Contratos,contratos,Listado global con filtros y acciones rápidas,"Tabla con búsqueda, filtros (estado, producto, canal).",high,backlog,pablo@sapira.ai,pablo@sapira.ai,80,"react,nextjs,filters"
Contratos Core,contratos-core,Contratos,contratos,"Ficha de contrato (datos, docs, historial)",Vista detalle con enlaces a reno/mod/baja.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,85,"react,bff,documents"
Contratos Core,contratos-core,Contratos,contratos,Historial y documentos en contrato,Timeline de eventos y gestión documental.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,75,"bff,storage,timeline"
Contratos Renovaciones,contratos-renovaciones,Renovaciones,renovaciones,Pipeline de renovaciones y vistas dedicadas,Listas de renovables/no renovables; acciones por lote.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,82,"react,bff,pipeline"
Contratos Renovaciones,contratos-renovaciones,Renovaciones,renovaciones,Motivos simplificados y estados,"KO scoring, impago, política interna; sin scoring/tlf.",medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"bff,business-logic"
Contratos Renovaciones,contratos-renovaciones,Renovaciones,renovaciones,Generación de renovación desde contrato,Acción directa en ficha.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,68,"frontend,ux"
Contratos Renovaciones,contratos-renovaciones,Renovaciones,renovaciones,Paridad Gas,Mismos procesos y tiempos que luz.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,72,"gas,parity,frontend"
Contratos Modificaciones,contratos-modificaciones,Modificaciones,modificaciones,Tipologías (técnicas/administrativas),Estructura de cambios con categorías.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"frontend,bff,catalog"
Contratos Modificaciones,contratos-modificaciones,Modificaciones,modificaciones,Validación y documentos,Subida/validación de docs y reglas de aprobación.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,75,"bff,documents,validation"
Contratos Modificaciones,contratos-modificaciones,Modificaciones,modificaciones,Estados y seguimiento,"Estados por tipo, auditoría y alertas.",medium,backlog,pablo@sapira.ai,pablo@sapira.ai,72,"bff,observability,audit"
Contratos Modificaciones,contratos-modificaciones,Modificaciones,modificaciones,To-dos integrados,Creación automática de tareas según tipo/caso.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,68,"bff,frontend,todos"
Contratos Bajas,contratos-bajas,Bajas,bajas,Causas y flujo de baja (cliente/distribuidora),"Registro de causa, evidencias y estado.",medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"frontend,bff,workflow"
Contratos Bajas,contratos-bajas,Bajas,bajas,Bajas por no renovación,Automatizar baja cuando reno no ejecutada.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,72,"bff,automation"
Contratos Bajas,contratos-bajas,Bajas,bajas,Estados y visibilidad en ficha,"Estados, histórico y acciones.",low,backlog,pablo@sapira.ai,pablo@sapira.ai,65,"frontend,ui"
