business_unit_name,business_unit_slug,project_name,project_slug,initiative_title,initiative_description,priority,status,reporter_email,assignee_email,rise_score,tags
Sales,sales,Programa W2M Agentes,programa-w2m-agentes,"Definición funcional y técnica (alcance, flujos, APIs, permisos)","Aterrizar alcance por módulos, contratos luz/gas, flujos y endpoints con W2M.",high,done,adolfo@sapira.ai,adolfo@sapira.ai,90,"workshops,prd,api-specs"
Sales,sales,Plataforma,plataforma,"BFF / API Gateway v1 (normalización Luz/Gas, versionado, caching)",Capa intermedia entre front y microservicios con contratos normalizados.,critical,backlog,pablo@sapira.ai,pablo@sapira.ai,95,"nestjs,nodejs,bff,cache"
Sales,sales,Plataforma,plataforma,Autenticación OIDC/JWT + RBAC jerárquico (canal/subagentes/admin),Login unificado y control de acceso por rol y jerarquía.,critical,backlog,pablo@sapira.ai,pablo@sapira.ai,92,"oidc,jwt,rbac,security"
Sales,sales,Plataforma,plataforma,"Observabilidad & logging unificado (trazas, métricas, alertas)",Telemetría E2E para debug y operación.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,85,"observability,logging,opentelemetry"
Sales,sales,Plataforma,plataforma,"Gestión documental (subida, metadatos, antivirus, storage)","Servicio genérico para documentos en contratos, clientes y altas.",high,backlog,pablo@sapira.ai,pablo@sapira.ai,82,"storage,s3,antivirus,documents"
Sales,sales,Plataforma,plataforma,"CI/CD, entornos y feature flags","Pipelines, despliegues y activación gradual por rol/canal.",high,backlog,pablo@sapira.ai,pablo@sapira.ai,88,"cicd,devops,feature-flags"
Sales,sales,Frontend,frontend,"Design System y tokens (UI kit, accesibilidad)",Base visual unificada y componentes reutilizables.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,80,"react,nextjs,tailwind,design-system"
Sales,sales,Plataforma,plataforma,"Seguridad OWASP (rate limiting, validaciones servidor)","Hardening BFF y endpoints, validaciones server-side.",critical,backlog,pablo@sapira.ai,pablo@sapira.ai,90,"security,owasp,nestjs"
Sales,sales,Onboarding,onboarding,Formulario de alta unificado (desde tarificación),"Formulario para titular, CUPS, dirección, IBAN; hand-off desde pricing.",high,backlog,pablo@sapira.ai,pablo@sapira.ai,85,"react,nextjs,forms"
Sales,sales,Onboarding,onboarding,Validaciones generales y autorrelleno,"Reglas de negocio, duplicidades, campos obligatorios y autofill.",medium,backlog,pablo@sapira.ai,pablo@sapira.ai,75,"validation,bff,frontend"
Sales,sales,Onboarding,onboarding,Integración firma digital,Firma digital de precontratos.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,88,"logalty,digital-signature"
Sales,sales,Onboarding,onboarding,Tramitación y estados (precontrato → firma → envío),Gestión E2E de alta con estados y eventos.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,82,"bff,frontend,workflow"
Sales,sales,Onboarding,onboarding,"Página de precontrato (histórico, documentos, clonación)",Detalle de alta con acciones rápidas y docs.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"react,nextjs,documents"
